time,Acceleration_X,Acceleration_Y,Acceleration_Z,Gyroscope_X,Gyroscope_Y,Gyroscope_Z
2025/03/24-11:30:07,106,-18,4100,0,-1,-2
2025/03/22-14:48:37,113,-6,4098,2,2,0
2025/03/22-20:55:07,115,-30,4094,-2,2,2
2025/03/21-21:43:35,100,-7,4114,-1,2,2
2025/03/24-13:36:12,109,-22,4101,-1,-1,-2
2025/03/23-13:09:24,113,-2,4104,2,-1,2
2025/03/25-22:11:26,116,-13,4110,-2,1,2
2025/03/21-17:36:24,125,-28,4087,2,-2,0
2025/03/21-13:23:47,102,-26,4112,-2,0,-1
2025/03/21-11:35:05,113,-1,4102,1,0,1
2025/03/23-10:54:28,104,-1,4110,-2,0,2
2025/03/21-23:10:27,119,-20,4095,-2,-1,-2
2025/03/23-15:18:46,112,-28,4109,2,-2,-1
2025/03/21-04:05:20,123,-26,4116,1,1,-1
2025/03/21-17:06:33,125,-20,4107,2,0,1
2025/03/21-03:15:40,115,-14,4097,-1,0,2
